"Cluster_a";"Flaeche";"Bevoelkerung";"Bevoelkerungsdichte";"Urbanisierungsgrad";"Geologischer_Indikator";"Abfaelle_gesamt";"Abfaelle_sortiert";"Abfaelle_unsortiert";"Sortierungsgrad";"Sort_Bio";"Sort_Papier";"Sort_Glas";"Sort_Holz";"Sort_Metall";"Sort_Plastik";"Sort_Elektrik";"Sort_Textil";"Sort_Rest";"Verwendung_Energie";"Verwendung_Deponie";"Verwendung_Recycling";"Verwendung_Unbekannt";"Steuern_gewerblich";"Steuern_privat";"Kosten_Basis";"Kosten_Sortierung";"Kosten_sonstiges";"Gebuehrenregelung_STANDARD";"Region_PAYT_Nein";"n_island_municipalities";"n_coastal_municipalities";"n_Cluster";"Size"
1;40,64;6418,31;240,09;2,53;1,92;3,07;2,02;0,9;52,59;15,83;10,38;9,21;2,09;1,3;5,92;1,02;0,51;5,83;15,4;21,75;36,9;24,74;18654,5;12132,35;164,12;53,72;59,21;0,94;0,64;22;685;2;2917
2;20,72;4503,06;369,71;2,4;2,94;2,13;1,65;0,46;75,51;27,51;11,8;9,35;5,04;2,26;5,92;1,3;0,64;11,41;30,29;7,9;50,43;11,38;11516,23;15527,16;118,13;45,61;34,11;0,73;0,07;0;45;2;1424
""
1;60,85;13395,23;384,76;2,08;2,28;6,99;4,73;1,85;43,91;5,81;11,82;7,44;3,77;1,4;5,43;1,08;0,53;6,34;16,43;20,61;34,05;27,89;14756,56;14581,48;180,05;60,85;55,69;0,83;0,38;22;221;3;733
2;20,72;4503,06;369,71;2,4;2,94;2,13;1,65;0,46;75,51;27,51;11,8;9,35;5,04;2,26;5,92;1,3;0,64;11,41;30,29;7,9;50,43;11,38;11516,23;15527,16;118,13;45,61;34,11;0,73;0,07;0;45;3;1424
3;33,86;4076,69;191,54;2,69;1,8;1,76;1,11;0,58;55,5;19,19;9,9;9,8;1,52;1,27;6,08;1;0,5;5,66;15,06;22,14;37,85;23,69;19962,74;11310,37;158,77;51,33;60,39;0,98;0,73;0;464;3;2184
""
1;60,85;13395,23;384,76;2,08;2,28;6,99;4,73;1,85;43,91;5,81;11,82;7,44;3,77;1,4;5,43;1,08;0,53;6,34;16,43;20,61;34,05;27,89;14756,56;14581,48;180,05;60,85;55,69;0,83;0,38;22;221;4;733
2;20,72;4503,06;369,71;2,4;2,94;2,13;1,65;0,46;75,51;27,51;11,8;9,35;5,04;2,26;5,92;1,3;0,64;11,41;30,29;7,9;50,43;11,38;11516,23;15527,16;118,13;45,61;34,11;0,73;0,07;0;45;4;1424
3;37,77;3271,51;135,61;2,79;1,87;1,39;0,83;0,51;53,93;18,83;10,13;9,33;1,63;1,22;5,48;0,97;0,45;5,5;13,7;28,05;36;20,49;19105,04;11497;158,35;46,28;63,59;0,98;0,66;0;351;4;1553
4;24,23;6058,38;329,18;2,43;1,61;2,66;1,8;0,76;59,36;20,06;9,32;10,94;1,25;1,38;7,57;1,07;0,62;6,05;18,39;7,6;42,42;31,54;22073,67;10851,04;159,8;63,77;52,51;1;0,9;0;113;4;631
""
