"Cluster_a";"Flaeche";"Bevoelkerung";"Bevoelkerungsdichte";"Urbanisierungsgrad";"Geologischer_Indikator";"Abfaelle_gesamt";"Abfaelle_sortiert";"Abfaelle_unsortiert";"Sortierungsgrad";"Sort_Bio";"Sort_Papier";"Sort_Glas";"Sort_Holz";"Sort_Metall";"Sort_Plastik";"Sort_Elektrik";"Sort_Textil";"Sort_Rest";"Verwendung_Energie";"Verwendung_Deponie";"Verwendung_Recycling";"Verwendung_Unbekannt";"Steuern_gewerblich";"Steuern_privat";"Kosten_Basis";"Kosten_Sortierung";"Kosten_sonstiges";"Gebuehrenregelung_STANDARD";"Region_PAYT_Nein";"n_island_municipalities";"n_coastal_municipalities";"n_Cluster";"Size"
1;42,79;7045,26;256,74;2,49;1,77;3,37;2,21;0,99;51,13;15,17;10,32;9,04;1,93;1,22;5,96;0,99;0,53;5,48;14,12;23,73;35,9;24,86;19113,8;11816,84;168,67;55,56;60,02;0,94;0,71;22;644;2;2532
2;21,94;4033,15;318,82;2,49;2,93;1,91;1,46;0,43;72,66;25,95;11,58;9,55;4,63;2,17;5,86;1,28;0,59;10,71;28,92;8,08;48,95;14,05;12392,57;15246,27;121,54;44,77;38,32;0,77;0,09;0;86;2;1809
""
1;52,59;13798,92;472,04;1,95;2,05;6,94;4,66;1,87;42,64;5,59;11,44;7,48;3,18;1,27;5,49;0,99;0,58;6,4;17,25;20,68;33,24;27,61;14314,79;13559,98;173,29;57,3;54,74;0,87;0,5;0;309;3;976
2;21,94;4033,15;318,82;2,49;2,93;1,91;1,46;0,43;72,66;25,95;11,58;9,55;4,63;2,17;5,86;1,28;0,59;10,71;28,92;8,08;48,95;14,05;12392,57;15246,27;121,54;44,77;38,32;0,77;0,09;0;86;3;1809
3;36,65;2809,03;121,7;2,82;1,6;1,14;0,68;0,44;56,46;21,17;9,62;10,01;1,14;1,19;6,26;0,99;0,49;4,9;12,15;25,65;37,56;23,14;22123,97;10723,46;165,78;54,46;63,32;0,99;0,84;22;335;3;1556
""
1;52,59;13798,92;472,04;1,95;2,05;6,94;4,66;1,87;42,64;5,59;11,44;7,48;3,18;1,27;5,49;0,99;0,58;6,4;17,25;20,68;33,24;27,61;14314,79;13559,98;173,29;57,3;54,74;0,87;0,5;0;309;4;976
2;17,19;3960,01;365,75;2,42;2,98;1,88;1,42;0,45;71,03;23,96;10,65;9,53;4,99;2,11;5,39;1,28;0,52;12,35;35,22;6,86;47,88;10,04;10810,25;15123,91;121,12;43,21;39,98;0,97;0,05;0;10;4;1095
3;36,65;2809,03;121,7;2,82;1,6;1,14;0,68;0,44;56,46;21,17;9,62;10,01;1,14;1,19;6,26;0,99;0,49;4,9;12,15;25,65;37,56;23,14;22123,97;10723,46;165,78;54,46;63,32;0,99;0,84;22;335;4;1556
4;29,24;4145,31;246,84;2,61;2,85;1,94;1,52;0,4;75,17;28,98;13;9,6;4,08;2,25;6,59;1,29;0,7;8,19;19,26;9,95;50,58;20,2;14819,23;15433,92;122,19;47,16;35,78;0,46;0,15;0;76;4;714
""
1;52,59;13798,92;472,04;1,95;2,05;6,94;4,66;1,87;42,64;5,59;11,44;7,48;3,18;1,27;5,49;0,99;0,58;6,4;17,25;20,68;33,24;27,61;14314,79;13559,98;173,29;57,3;54,74;0,87;0,5;0;309;5;976
2;17,19;3960,01;365,75;2,42;2,98;1,88;1,42;0,45;71,03;23,96;10,65;9,53;4,99;2,11;5,39;1,28;0,52;12,35;35,22;6,86;47,88;10,04;10810,25;15123,91;121,12;43,21;39,98;0,97;0,05;0;10;5;1095
3;39,3;2961,91;121,9;2,82;1,62;1,22;0,68;0,51;50,81;18,26;9,59;9,06;1,24;1,07;5,38;0,9;0,48;4,47;11,62;30,95;33,19;22,19;20816,21;10741,12;165,39;46,29;68,57;0,99;0,8;22;252;5;1112
4;29,24;4145,31;246,84;2,61;2,85;1,94;1,52;0,4;75,17;28,98;13;9,6;4,08;2,25;6,59;1,29;0,7;8,19;19,26;9,95;50,58;20,2;14819,23;15433,92;122,19;47,16;35,78;0,46;0,15;0;76;5;714
5;30,02;2426,14;121,2;2,84;1,54;0,93;0,67;0,26;70,61;28,46;9,68;12,4;0,89;1,49;8,46;1,24;0,54;5,99;13,49;12,37;48,51;25,54;25399,25;10679,25;166,76;74,92;50,17;1;0,94;0;83;5;444
""
1;52,59;13798,92;472,04;1,95;2,05;6,94;4,66;1,87;42,64;5,59;11,44;7,48;3,18;1,27;5,49;0,99;0,58;6,4;17,25;20,68;33,24;27,61;14314,79;13559,98;173,29;57,3;54,74;0,87;0,5;0;309;6;976
